Type,SKU,Name,Published,Is featured?,Visibility in catalog,Short description,Description,In stock?,Stock,Weight (kg),Length (cm),Width (cm),Height (cm),Sale price,Regular price,Categories,Tags,Images,Parent,Brands,Position,Attribute 1 name,Attribute 1 value(s),Attribute 1 visible,Attribute 1 global,Attribute 1 default,Attribute 2 name,Attribute 2 value(s),Attribute 2 visible,Attribute 2 global,Attribute 2 default
simple,5603272226472,Raved Rond Tafelzeil - 160 cm ø - Linnen Beige - PVC - Afwasbaar,1,,visible,,a,1,999,,,,,,,Tafellaken,"Tafellaken,PVC,Tafelzeil,Rond,Bonita",https://media.s-bol.com/z2XnAp2VrW7/1200x1161.jpg,,Bonita,,,,,,,,,,,
variable,RAV-RAVEDTAFEL-9300000179685230,Raved Rond Tafelzeil - 160 ø - PVC - Afwasbaar,1,,visible,,"<p>Bescherm je tafel stijlvol met dit <strong>rond tafelzeil Ø 160 cm</strong> van <strong>PVC</strong>, met een <strong>vrolijke bloemenprint</strong> en <strong>eenvoudig afwasbaar</strong> oppervlak — perfect voor dagelijks gebruik én een sfeervolle tafelsetting.</p> <p>Met het <strong>rond tafelzeil Ø 160 cm</strong> uit de <strong>Bonita-collectie</strong> kies je voor stijl én praktische bescherming in één. Dit tafelzeil is vervaardigd uit <strong>PVC</strong> met een stevige vliesrug, waardoor het soepel valt én tegelijkertijd je tafel beschermt tegen vlekken, vloeistoffen en krassen. Dankzij het vrolijke <strong>gekleurde bloemen-design</strong> voeg je eenvoudig sfeer toe aan je eetkamer, tuin of veranda — een mooie basis voor zowel alledaagse maaltijden als gezellige bijeenkomsten met vrienden of familie.</p> <h3>Bescherming & onderhoud</h3> <p>Het afwasbare oppervlak maakt schoonmaken tot een fluitje van een cent: een vochtige doek volstaat om resten van etens- of drinkpartijen te verwijderen. Het tafelzeil is <strong>water- en vuilafstotend</strong>, waardoor je tafel minder snel beschadigd raakt door morsen of één potje te veel met saus. Omdat het gemaakt is van PVC, is het duurzaam, makkelijk af te vegen en behoudt het kleur en print langer.</p> <h3>Vorm en maat</h3> <p>Met een diameter van <strong>Ø 160 cm</strong> is dit ronde tafelzeil ideaal voor een ruime eettafel of tuintafel waar het hele gezin samenkomt. De ronde vorm zorgt ervoor dat het overal mooi valt en geen scherpe hoeken heeft — uitermate geschikt voor gezinnen met kinderen of voor een ontspannen buiten- of binnensituatie.</p> <h3>Design & sfeer</h3> <p>Het <strong>gekleurde bloemen-motief</strong> voegt direct een frisse, uitnodigende touch toe aan je interieur of exterieur. Of je nu een klassieke inrichting hebt of juist een moderne stijl: dit tafelzeil fungeert als sfeermaker én als beschermlaag in een. Dankzij de kleurcombinaties creëer je een vrolijke tafelsetting zonder concessies te doen aan functionaliteit.</p> <h3>Waarom deze keuze?</h3> <ul> <li> <p><strong>Gebruiksgemak</strong>: geen gekluns met tafelkleden die moeten worden gewassen of gestreken — gewoon afnemen.</p> </li> <li> <p><strong>Bescherming</strong>: je tafel blijft beschermd tegen dagelijkse slijtage, vlekken en krassen.</p> </li> <li> <p><strong>Sfeer</strong>: een goed print zorgt ervoor dat jouw tafel meteen gezellig oogt, waardoor je minder hoeft te decoreren.</p> </li> <li> <p><strong>Veelzijdigheid</strong>: geschikt voor binnen en buiten — perfect voor zonnige lunches, regenachtige dagen of sfeervolle avonden.</p> </li> </ul> <p>Mis niet de kans om jouw tafel elegant en makkelijk te verzorgen. Combineer de bescherming die je nodig hebt met het design dat je graag ziet. Voeg dit ronde tafelzeil toe aan je woonwereld en geniet direct van een verzorgde, sfeervolle tafel — bestel nu en ervaar het verschil!</p>",1,999,,,,,,,Tafellaken,"Tafellaken,PVC,Tafelzeil,Rechthoek,Effen,jungle,Raved,Rond",https://media.s-bol.com/mxk2GW2GPn4O/pgL09k6/1200x1200.jpg,,Raved,,Size,"140 x 160 cm, 160 x 160 cm",0,0,140 x 160 cm,,,,,
variation,9504721868174,Raved Rond Tafelzeil - Herfst Dieren 160 cm ø - Eend - Vogels - PVC - Afwasbaar,1,,visible,,,1,999,,,,,27.95,27.95,Tafellaken,,https://media.s-bol.com/38zOLwX6GnBn/y8yG4qR/1200x1200.jpg,RAV-RAVEDTAFEL-9300000179685230,Raved,0,Size,140 x 160 cm,,0,,,,,,
variation,5603272226557,Raved Rond Tafelzeil - 160 cm ø - Linnen Beige - PVC - Afwasbaar,1,,visible,,,1,999,,,,,27.95,27.95,Tafellaken,,https://media.s-bol.com/Ym28pL6Jg7z2/kR7wBgE/1200x1200.jpg,RAV-RAVEDTAFEL-9300000179685230,Raved,1,Size,160 x 160 cm,,0,,,,,,
variable,RAV-RAVEDTAFEL-9300000111015932,Raved Zwart Tafelkleed/Tafellaken Elof - 100% katoen - Uitwasbaar,1,,visible,,"<p>Met het <strong>uitwasbare katoenen tafelkleed</strong> van Raved in stijlvol zwart geef je direct een chique uitstraling aan je tafel, terwijl je tafel beschermd wordt tegen knoeien en kringen. Ideaal voor binnen én buiten – sfeer zonder zorgen.</p> <p><strong>Tafelkleed</strong> dat stijl en functionaliteit combineert: het zwarte <strong>Raved tafelkleed Katoen 140 × 300 cm</strong> is de slimme keuze voor iedereen die van mooi én praktisch houdt. Of je nu gaat voor een sfeervol diner met vrienden, een gezellige lunch op het terras of een feestelijke kersttafel – dit tafelkleed brengt de juiste ambiance én houdt je tafel netjes.</p> <h3>Sfeervol & veelzijdig</h3> <p>Met de royale afmeting 140 × 300 cm is dit tafelkleed geschikt voor grote gezelschappen en lange tafels, en past tegelijkertijd perfect in een standaard eetkamer. De effen zwarte kleur geeft een tijdloze, chique uitstraling – combineer met lichte servetten of juist een knallende accentkleur voor contrast. Dankzij het materiaal <strong>katoen</strong> voelt het textiel zacht en natuurlijk aan, wat warmte toevoegt in je interieur.</p> <h3>Bescherming voor jouw tafel</h3> <p>Knijp jij je ogen soms dicht bij het serveren van een warme pan? Dankzij het stevige katoenen materiaal biedt dit tafelkleed bescherming tegen kringen, hitteplekken en knoeien. Door te kiezen voor deze <strong>praktische oplossing</strong> voorkom je vervelende schade en verleng je de levensduur van je tafel. Zo kun je met een gerust hart genieten van familie- of vriendenavond.</p> <h3>Onderhoudsgemak</h3> <p>Een van de grootste voordelen is het <strong>uitwasbare karakter</strong> – simpel in de wasmachine op 30 °C (zie voorschriften) en je tafelkleed ziet er weer fris uit. Geen vlekkenstress meer na een middag knutselen met de kinderen of een barbecue op het terras. Binnen of buiten gebruikt? Geen probleem. Dankzij de degelijkheid van het materiaal is dit tafelkleed een all-round keuze.</p> <h3>Wanneer gebruik je het?</h3> <ul> <li> <p>Voor een stijlvolle eettafel binnen, bij dagelijks gebruik of speciale gelegenheden.</p> </li> <li> <p>Op het terras of balkon wanneer je buiten dineert: sfeervol én functioneel.</p> </li> <li> <p>Tijdens feestelijke momenten – kerst, verjaardag, jubileum – waarbij sfeer en bescherming samenkomen.</p> </li> </ul> <h3>Waarom deze keuze?</h3> <p>Door te kiezen voor dit tafelkleed kies je bewust voor een product dat meerdere behoeften vervult: stijl, bescherming, onderhoudsgemak én flexibiliteit. Je tafel wordt je podium: de ruimte krijgt direct sfeer, en je hoeft je minder zorgen te maken over knoeien of slijtage.</p> <h3>Call to action</h3> <p>Kies vandaag nog voor het Raved tafelkleed Katoen 140 × 300 cm in zwart en geef jouw tafel direct die complete upgrade – stijlvol, solide en zorgeloos. Bestel nu en begin direct met genieten van je maaltijd, in alle rust en comfort.</p>",1,999,,,,,,,Tafellaken,"Tafellaken,Katoen,Tafelkleed,Rechthoek,Effen,Raved,Rond",https://media.s-bol.com/RNgrmYOwvMPR/j2WjqpW/1200x1080.jpg,,Raved,,Size,"140 x 200 cm, 140 x 250 cm, 140 x 300 cm, 160 x 160 cm",0,0,140 x 200 cm,,,,,
variation,8720387517725,Raved Tafelkleed Elof 140 cm x 200 cm - Zwart - Katoen - Uitwasbaar,1,,visible,,,1,999,,,,,24.99,37.99,Tafellaken,,https://media.s-bol.com/r10Nrr1LopmK/76qmLPw/1200x1080.jpg,RAV-RAVEDTAFEL-9300000111015932,Raved,0,Size,140 x 200 cm,,0,,,,,,
variation,8720387517718,Raved Elof Tafelkleed – 140x250 cm – Katoen – Zwart – Uitwasbaar,1,,visible,,,1,999,,,,,24.99,37.99,Tafellaken,,https://media.s-bol.com/m5wVmm5DjVGR/8qrn6Ql/1200x1080.jpg,RAV-RAVEDTAFEL-9300000111015932,Raved,1,Size,140 x 250 cm,,0,,,,,,
variation,8720387517732,Raved Tafelkleed Elof 140 cm x 300 cm - Zwart - Katoen - Uitwasbaar,1,,visible,,,1,999,,,,,24.99,37.99,Tafellaken,,https://media.s-bol.com/RNgrmYOwvMPR/j2WjqpW/1200x1080.jpg,RAV-RAVEDTAFEL-9300000111015932,Raved,2,Size,140 x 300 cm,,0,,,,,,
variation,8720387517749,Raved Rond Elof Tafelkleed Ø 160 cm - Katoen - Zwart - Uitwasbaar,1,,visible,,,1,999,,,,,24.99,37.99,Tafellaken,,https://media.s-bol.com/ApDXQ477npkl/qjW5pQG/1200x1200.jpg,RAV-RAVEDTAFEL-9300000111015932,Raved,3,Size,160 x 160 cm,,0,,,,,,
simple,8720707630066,Raved Transparant Tafelzeil 140x110 cm - PVC - Glashelder - Afwasbaar & Beschermend,1,,visible,,"<p>Bescherm je tafel tegen krassen en vlekken met dit <strong>transparant tafelzeil van Raved</strong>. Gemaakt van <strong>duurzaam PVC</strong>, eenvoudig <strong>afwasbaar</strong> en ideaal voor dagelijks gebruik. Zo blijft jouw tafel stijlvol zichtbaar én goed beschermd.</p> <p>Met het <strong>Raved transparant tafelzeil</strong> combineer je de praktische voordelen van bescherming met de elegante uitstraling van jouw eigen tafel. Dit <strong>PVC tafelzeil</strong> is speciaal ontworpen om krassen, vocht en vlekken tegen te gaan, zonder dat het tafelblad uit het zicht verdwijnt. Perfect voor wie zijn interieur mooi wil houden, maar toch zorgeloos wil genieten van dagelijks gebruik.</p> <h3>Voordelen van dit transparant tafelzeil</h3> <ul> <li> <p><strong>Transparant ontwerp</strong> – laat de natuurlijke look van jouw tafel zien</p> </li> <li> <p><strong>Afwasbaar PVC</strong> – vlekken verwijder je eenvoudig met een doek</p> </li> <li> <p><strong>Waterafstotend & krasbestendig</strong> – ideale bescherming bij intensief gebruik</p> </li> <li> <p><strong>Veelzijdig</strong> – bruikbaar als <strong>tafelkleed, tafelloper of bescherming</strong> bij knutsel- en eetmomenten</p> </li> </ul> <h3>Praktisch én stijlvol</h3> <p>Veel tafelkleden verbergen het design van je tafel. Met dit <strong>doorzichtig tafelzeil</strong> blijft het originele blad zichtbaar, terwijl je toch profiteert van optimale bescherming. Van houten tafels tot design tafels: het zeil past in elk interieur. Bovendien is het geschikt voor zowel binnen als buiten.</p> <h3>Onderhoudsgemak</h3> <p>Waar stoffen tafelkleden vaak vlekken vasthouden of in de was moeten, veeg je dit <strong>afwasbare PVC tafelzeil</strong> simpelweg schoon met een vochtige doek. Geen gedoe, geen zorgen.</p> <h3>Waarom kiezen voor Raved?</h3> <p>Raved staat bekend om zijn duurzame en gebruiksvriendelijke woonproducten. Dit tafelzeil combineert <strong>kwaliteit en functionaliteit</strong>, zodat je langer plezier hebt van jouw tafel. Met duizenden tevreden gebruikers is het een bewezen oplossing voor elk huishouden.</p> <p>Bescherm je tafel slim en stijlvol – bestel vandaag nog het <strong>Raved transparant tafelzeil</strong> en geniet morgen al van zorgeloos gebruik.</p>",1,999,,,,,,23.95,Tafellaken,"Tafellaken,PVC,Tafelzeil,Rechthoek,Effen,Transparant,Raved",https://media.s-bol.com/7xYVjRywGYnQ/DkrKGqB/1200x1200.jpg,,Raved,,,,,,,,,,,
