ID,Type,SKU,"GTIN, UPC, EAN, or ISBN",Name,Published,"Is featured?","Visibility in catalog","Short description",Description,"Date sale price starts","Date sale price ends","Tax status","Tax class","In stock?",Stock,"Low stock amount","Backorders allowed?","Sold individually?","Weight (kg)","Length (cm)","Width (cm)","Height (cm)","Allow customer reviews?","Purchase note","Sale price","Regular price",Categories,Tags,"Shipping class",Images,"Download limit","Download expiry days",Parent,"Grouped products",Upsells,Cross-sells,"External URL","Button text",Position,Brands,"Attribute 1 name","Attribute 1 value(s)","Attribute 1 visible","Attribute 1 global","Attribute 1 default"
2351123832445347,variable,RAV-RAVEDTAFEL-19647,,"Raved Tafelzeil - Lente Bloemen Groen",1,0,visible,"Raved Tafelzeil groen. Tafelzeil van top kwaliteit. OEKO-TEX gecertificeerd; vrij van ftalaten.","<p>Raved Tafelzeil - Lente Bloemen Groen is dé tafeldecoratie die jouw huis transformeert tot een sfeervolle oase. Met een overhang van 15 cm creëer je moeiteloos een stijlvolle ambiance voor elke gelegenheid. Het groene tafelzeil is niet alleen prachtig, maar ook praktisch dankzij de PVC bovenkant die eenvoudig schoon te houden is met een vochtige doek.</p>\n<p>Dit tafelzeil is ftalaten vrij en OEKO-TEX® Standard 100 gecertificeerd, waardoor je met een gerust hart kunt genieten van een veilige en gezonde tafelsetting. De non-woven vlies polyester onderkant beschermt jouw tafel tegen krassen, waardoor je langdurig plezier hebt van dit tafelkleed.</p>\n<p>Specificaties in een oogopslag:</p>\n<ul>\n<li>Kleur: Groen</li>\n<li>Print: Print</li>\n<li>Dikte: 0,29 mm</li>\n<li>Materiaal Bovenkant: PVC</li>\n<li>Materiaal Onderkant: Non-woven vlies polyester</li>\n<li>Machinewasbaar: Nee</li>\n</ul>\n<p>Haal bij extreem weer het tafelzeil naar binnen om verkleuring te voorkomen en de levensduur te verlengen. Creëer een prachtig gedekte tafel met het Raved Tafelzeil en geniet van stijlvolle diners en gezellige bijeenkomsten. Bestel nu en geef jouw interieur een frisse en vrolijke uitstraling!</p>\n\n<p>Bekijk ook onze <a href=""https://ravedfabrics.com/product-category/tafelzeil-nl/tafelzeil-bestsellers/"">tafelzeil bestsellers</a>!</p>",,,taxable,,1,5,5,1,0,1,,,,0,"Bedankt voor je bestelling! Je tafelzeil wordt binnen 1-2 werkdagen verzonden. Tip: laat 15 cm overhang voor het mooiste resultaat.",,,"Tafelzeil > Bloemen, Lente Tafelzeilen, PVC Tafelzeil, Tafelzeil","Bloemen, Groen, PVC, Tafelzeil",,"https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg, https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-1.jpg, https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-3.jpg, https://ravedfabrics.com/wp-content/uploads/2022/08/1200x1200.jpg, https://ravedfabrics.com/wp-content/uploads/2022/11/Informatie-1.png, https://ravedfabrics.com/wp-content/uploads/2022/11/Informatie-2.png",,,,,,,,,1783,Raved,size,"140 x 100 cm, 140 x 140 cm, 140 x 160 cm, 140 x 180 cm, 140 x 200 cm, 140 x 220 cm, 140 x 230 cm, 140 x 240 cm, 140 x 250 cm, 140 x 260 cm, 140 x 270 cm, 140 x 280 cm, 140 x 290 cm, 140 x 300 cm, 140 x 310 cm, 140 x 320 cm, 140 x 350 cm, 140 x 50 cm, Staaltje",0,0,"140 x 50 cm"
2351123832445361,variation,8720707634422,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 220 cm",1,0,visible,,19624,,,taxable,parent,1,119,,0,0,0.5,220,140,0.3,0,,,"25,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,7,,size,"140 x 220 cm",,0,
2351123832445362,variation,,,"Raved Tafelzeil - Lente Bloemen Groen - Staaltje",1,0,visible,,,,,taxable,parent,1,,,0,0,,,,,0,,,"2,50",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,0,,size,Staaltje,,0,
2351123832445363,variation,8720707634293,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 50 cm",1,0,visible,,19611,,,taxable,parent,1,528,,0,0,0.5,50,140,0.3,0,,,"13,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,1,,size,"140 x 50 cm",,0,
2351123832445364,variation,8720707634309,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 100 cm",1,0,visible,,19612,,,taxable,parent,1,264,,0,0,0.5,100,140,0.3,0,,,"14,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,2,,size,"140 x 100 cm",,0,
2351123832445365,variation,8720707634347,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 140 cm",1,0,visible,,19616,,,taxable,parent,1,188,,0,0,0.5,140,140,0.3,0,,,"17,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,3,,size,"140 x 140 cm",,0,
2351123832445366,variation,8720707634361,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 160 cm",1,0,visible,,19618,,,taxable,parent,1,165,,0,0,0.5,160,140,0.3,0,,,"19,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,4,,size,"140 x 160 cm",,0,
2351123832445352,variation,8720707634477,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 270 cm",1,0,visible,,19629,,,taxable,parent,1,97,,0,0,0.5,270,140,0.3,0,,,"31,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,12,,size,"140 x 270 cm",,0,
2351123832445353,variation,8720707634484,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 280 cm",1,0,visible,,19630,,,taxable,parent,1,94,,0,0,0.5,280,140,0.3,0,,,"32,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,13,,size,"140 x 280 cm",,0,
2351123832445354,variation,8720707634491,,"Raved Tafelzeil - Lente Bloemen Groen - 140 x 290 cm",1,0,visible,,19631,,,taxable,parent,1,91,,0,0,0.5,290,140,0.3,0,,,"33,99",,,,https://ravedfabrics.com/wp-content/uploads/2022/09/Raved-tafelzeil-lente-bloemen-wit-groen-2.jpg,,,RAV-RAVEDTAFEL-19647,,,,,,14,,size,"140 x 290 cm",,0,
